#lambda flux_corrected
4195.658303187552 1.0780991E-15
4196.623508866479 8.863481999999999E-16
4197.588936589704 1.1869332E-15
4198.5568913275165 8.498613E-16
4199.522763822836 9.839328E-16
4200.491164496938 1.0650653E-15
4201.457481969258 1.0399244E-15
4202.426328785091 1.2223053E-15
4203.393091439412 7.244165E-16
4204.360076496212 5.144283E-16
4205.329592643932 5.966570999999999E-16
4206.297023190289 7.2911115E-16
4207.266985993639 1.0366187E-15
4208.23486223479 6.003957299999999E-16
4209.205271899543 5.105652E-16
4210.17359404082 5.4142456E-16
4211.142138943332 5.523187E-16
4212.113219019673 3.0681527E-16
4213.082210130363 3.0581526999999997E-16
4214.053737582835 6.673924E-16
4215.023175107271 7.1985345E-16
4215.995150141979 6.74228E-16
4216.965034285822 7.445238599999999E-16
4217.935141550239 6.9925895E-16
4218.907788077978 7.106099999999999E-16
4219.87834227035 1.0018832E-15
4220.851436895884 1.1935457E-15
4221.822438222112 1.1674703E-15
4222.795981151879 1.28862505E-15
4223.767429817958 1.3308009E-15
4224.739101964527 1.1755566E-15
4225.71331747051 1.1154078999999999E-15
4226.685437265976 1.153954E-15
4227.660101592581 1.0904391E-15
4228.632669243176 1.0077292E-15
4229.607782597174 1.1414294E-15
4230.5807983092245 1.2623187E-15
4231.554037862261 1.0345354E-15
4232.529824877411 1.2706168E-15
4233.503512801448 1.3753885E-15
4234.479749361212 1.3151643999999999E-15
4235.453885862814 1.1674487E-15
4236.430572174299 1.2288532999999998E-15
4237.405157460125 1.2241704999999998E-15
4238.379966948017 1.0316912E-15
4239.357328007337 1.1345189E-15
4240.332586589497 1.3371209E-15
4241.310397918594 1.014212E-15
4242.286105801921 9.489623E-16
4243.264367608233 1.0918202E-15
4244.240524999719 1.3368821E-15
4245.216906954929 1.1360522E-15
4246.195844597515 1.5180479E-15
4247.17267637143 9.261093000000001E-16
4248.152065010124 1.1453468000000001E-15
4249.129346809973 1.3318236E-15
4250.1091866525485 1.0933681E-15
4251.08691868566 1.1304235999999999E-15
4252.064875644741 1.2041862999999998E-15
4253.045392413782 1.154017E-15
4254.0237999171695 1.4553279E-15
4255.004768409822 1.3553267999999999E-15
4255.983626665083 1.3499413E-15
4256.965047089454 1.2351456E-15
4257.94435630425 1.3593666E-15
4258.926228868545 1.5461959E-15
4259.905989250631 1.4537008E-15
4260.885975025306 1.4496515E-15
4261.868525920381 1.3898130999999998E-15
4262.848963174038 1.2353328E-15
4263.831966729845 1.2737697E-15
4264.81285567048 1.1111709E-15
4265.796312095559 1.1256916999999998E-15
4266.777652931263 1.1876275E-15
4267.759219523137 1.2516872E-15
4268.7433553732135 1.272598E-15
4269.725374172352 1.1505806E-15
4270.709963413347 1.2266912E-15
4271.69243462808 1.4421737999999998E-15
4272.677477468872 1.5469151E-15
4273.660401307628 1.3776759999999999E-15
4274.643551266721 1.2095532E-15
4275.629274628493 1.414532E-15
4276.612877524305 1.4951632E-15
4277.5990550083625 1.1672797E-15
4278.583111049563 1.2360002E-15
4279.569742865119 1.1724911E-15
4280.554252260472 1.1812036499999999E-15
4281.538988140917 9.451857999999999E-16
4282.526301575202 1.1006835000000001E-15
4283.511491123 1.1695118E-15
4284.499259412117 1.2682141E-15
4285.484902836272 1.6853629999999999E-15
4286.473126189771 1.7831942E-15
4287.459223699386 1.4102381E-15
4288.445548059436 1.5145075999999999E-15
4289.434454131184 1.3042046E-15
4290.4212328904 1.3497744E-15
4291.410594550706 1.3143043E-15
4292.397827918428 9.949725E-16
4293.387645377183 1.0804029999999998E-15
4294.37533356285 1.0516001E-15
4295.363248964885 1.275193E-15
4296.353750243184 1.2952531E-15
4297.342120777377 1.1980378E-15
4298.333078379144 1.2487414E-15
4299.321904255175 1.2804238E-15
4300.313318390639 1.4939090999999998E-15
4301.302599818281 1.1392377E-15
4302.292108828816 1.2805213E-15
4303.284207886895 1.1801255E-15
4304.274172763761 1.2538567E-15
4305.266728881406 1.357562E-15
4306.257149834622 1.2401901000000001E-15
4307.2501632224 1.2615866999999999E-15
4308.2410404620805 1.203144E-15
4309.232145651767 1.1058887E-15
4310.22584506701 1.2902181E-15
4311.217406858387 1.4776196E-15
4312.211564070479 1.2357854E-15
4313.203582673904 1.00425415E-15
4314.198197893752 1.2465666999999999E-15
4315.190673519677 9.296386999999999E-16
4316.183377463316 1.0179101E-15
4317.178679817262 1.4197155E-15
4318.171841099136 1.1971536E-15
4319.167601988404 1.2488986E-15
4320.161220819211 1.3215605999999998E-15
4321.157440455049 1.0960839E-15
4322.15151704558 1.127337E-15
4323.145822322123 1.3580857E-15
4324.142730200476 1.2123399E-15
4325.13749355299 1.1716848E-15
4326.134860706329 1.1368866E-15
4327.130082345848 1.1593541999999998E-15
4328.127908985762 1.0163089E-15
4329.123589123418 1.1760935E-15
4330.119498315981 1.0538131999999999E-15
4331.118014308616 1.3724165E-15
4332.114382316072 1.4444159499999999E-15
4333.113358324551 1.2113909E-15
4334.110185358275 1.137255E-15
4335.109621594528 1.3176822E-15
4336.106907865995 1.4205266E-15
4337.106804542047 1.1665594999999999E-15
4338.104550262826 1.1736148E-15
4339.102525513697 1.3220573E-15
4340.103112972563 1.3336040999999999E-15
4341.101547990159 1.2062127E-15
4342.102596419193 1.2508164000000001E-15
4343.101491415328 1.3177279E-15
4344.103001026899 1.3760721E-15
4345.102356213485 1.1172459999999999E-15
4346.101941300419 1.0424109E-15
4347.104142809106 1.2971615999999999E-15
4348.104188404415 1.2549054E-15
4349.106851626862 1.0435988999999998E-15
4350.107357942704 9.949914E-16
4351.110483091622 6.981855399999999E-16
4352.111450340249 9.106704E-16
4353.112647860075 1.0903574000000001E-15
4354.116466022211 1.0963512E-15
4355.11812479326 1.0278302E-15
4356.1224054139475 1.0131511E-15
4357.124525648717 9.502048999999998E-16
4358.12926894101 1.1927457999999999E-15
4359.131850852098 1.1335318E-15
4360.134663405836 9.393827E-16
4361.140100829248 1.287531E-15
4362.143375378255 1.2376908999999998E-15
4363.14927600621 1.3204699E-15
4364.153012763326 1.4585288E-15
4365.159376809224 1.1685538E-15
4366.163575987388 1.1660662E-15
4367.1680061802535 1.1943411E-15
4368.175065476975 1.2917001E-15
4369.179958410354 1.4182718E-15
4370.187481658815 1.3899803000000001E-15
4371.192837545892 1.1524001E-15
4372.200824959837 1.0492279999999999E-15
4373.206644013894 1.2283453E-15
4374.212694455303 1.2529974E-15
4375.221378241581 1.1592776E-15
4376.227892169952 1.5424836999999999E-15
4377.237040656372 1.3281186E-15
4378.244018285232 1.0034349000000001E-15
4379.253631685881 1.334174E-15
4380.261073228858 1.1703238E-15
4381.268746532437 1.0953822E-15
4382.27905742874 1.1611478E-15
4383.2871949669325 1.2301121E-15
4384.297971312986 1.2581502000000001E-15
4385.306573299665 1.2740307E-15
4386.3178153099025 1.2752246E-15
4387.326881959038 1.2477674499999998E-15
4388.33618074263 1.2767346999999999E-15
4389.348121373652 1.33959675E-15
4390.357885140716 1.3141666E-15
4391.370291972307 1.1696706E-15
