# Wavelength,Flux
5.612450840015140784e+03 2.711991370587922222e-16
5.622401561247914287e+03 2.698830456752766725e-16
5.632351638258091043e+03 2.727511210078368991e-16
5.642301069052879029e+03 2.641810938303122383e-16
5.652249851639488043e+03 2.715680056815562558e-16
5.662197984025124242e+03 2.464707872201500120e-16
5.672145464216999244e+03 2.652187304441352770e-16
5.682092290222321026e+03 2.382859521548624201e-16
5.692038460048297566e+03 2.604893257207016879e-16
5.701983971702136841e+03 2.373517254803712634e-16
5.711928823191047741e+03 2.438617263519080271e-16
5.721873012522240060e+03 2.563938249580533692e-16
5.731816537702921778e+03 2.487765584975276310e-16
5.741759396740300872e+03 2.612909655793619072e-16
5.751701587641587139e+03 2.603293842444169398e-16
5.761643108413989466e+03 2.592778171854278529e-16
5.771583957064714014e+03 2.572721135814412816e-16
5.781524131600972396e+03 2.558416587941402969e-16
5.791463630029971682e+03 2.679005231461734006e-16
5.801402450358920760e+03 2.599994699318221354e-16
5.811340590595027606e+03 2.869903636376368603e-16
5.821278048745502019e+03 2.742111641636584542e-16
5.831214822817551976e+03 2.660710302988005571e-16
5.841150910818387274e+03 2.657981913674630950e-16
5.851086310755214981e+03 2.566008301258492156e-16
5.861021020635243985e+03 2.633593983438050809e-16
5.870955038465683174e+03 2.633428790803467255e-16
5.880888362253742343e+03 2.566150279178029465e-16
5.890820990006628563e+03 2.624535792226306300e-16
5.900752919731550719e+03 2.347177547266847484e-16
5.910684149435717700e+03 2.636487807123228862e-16
5.920614677126338393e+03 2.566500215951833803e-16
5.930544500810621685e+03 2.686005872923858701e-16
5.940473618495774645e+03 2.496979949705579468e-16
5.950402028189007979e+03 2.485627160485629322e-16
5.960329727897529665e+03 2.436929096576081773e-16
5.970256715628545862e+03 2.513417489371918004e-16
5.980182989389269096e+03 2.492023256062315810e-16
5.990108547186906435e+03 2.515124424655133408e-16
6.000033387028665857e+03 2.525327530379036727e-16
6.009957506921757158e+03 2.533282016525606454e-16
6.019880904873387408e+03 2.472123824931766418e-16
6.029803578890765493e+03 2.392323366198852602e-16
6.039725526981102121e+03 2.345282001362299827e-16
6.049646747151604359e+03 2.395130023387998955e-16
6.059567237409481095e+03 2.428856157775971441e-16
6.069486995761940307e+03 2.458139345885464479e-16
6.079406020216190882e+03 2.512492049841388032e-16
6.089324308779442617e+03 2.397356102278705368e-16
6.099241859458903491e+03 2.473198801601350319e-16
6.109158670261780571e+03 2.424655921568033301e-16
6.119074739195285474e+03 2.376364408840315027e-16
6.128990064266625268e+03 2.436608359375291352e-16
6.138904643483007021e+03 2.479082313424575472e-16
6.148818474851642350e+03 2.266774938794517048e-16
6.158731556379738322e+03 2.404955282840932072e-16
6.168643886074502916e+03 2.370838298947549107e-16
6.178555461943145929e+03 2.371273723163440101e-16
6.188466281992876247e+03 2.320172906662453125e-16
6.198376344230900941e+03 2.290485301023576241e-16
6.208285646664429805e+03 2.008642635573822752e-16
6.218194187300670819e+03 2.355148809217401997e-16
6.228101964146834689e+03 2.204636146987621993e-16
6.238008975210127574e+03 2.286442968974144168e-16
6.247915218497759270e+03 2.338561461152230368e-16
6.257820692016937755e+03 2.349010426335304268e-16
6.267725393774871918e+03 2.351189352727727251e-16
6.277629321778770645e+03 2.225071197737748246e-16
6.287532474035842824e+03 2.283054646616216491e-16
6.297434848553295524e+03 2.258059648945607546e-16
6.307336443338340359e+03 2.138995452087637485e-16
6.317237256398183490e+03 2.300518820052109265e-16
6.327137285740033803e+03 2.225146513230588159e-16
6.337036529371101096e+03 2.198189969623728766e-16
6.346934985298592437e+03 2.277623504677752865e-16
6.356832651529717623e+03 2.311915758660577765e-16
6.366729526071685541e+03 2.244678345890993370e-16
6.376625606931704169e+03 2.352080162823087767e-16
6.386520892116981486e+03 2.393830419379914813e-16
6.396415379634727287e+03 2.263361712651657472e-16
6.406309067492150461e+03 2.394885893205526528e-16
6.416201953696458077e+03 2.334586173235525266e-16
6.426094036254860839e+03 2.456919431005765704e-16
6.435985313174564908e+03 2.442443183979523442e-16
6.445875782462780990e+03 2.482943436264138896e-16
6.455765442126717062e+03 2.396066918141843132e-16
6.465654290173581103e+03 2.415664337432614022e-16
6.475542324610583819e+03 2.353942179213761119e-16
6.485429543444930459e+03 2.433399210137251053e-16
6.495315944683832640e+03 2.458622128068848501e-16
6.505201526334498340e+03 2.540783859669824670e-16
6.515086286404134626e+03 2.528378017235594472e-16
6.524970222899952205e+03 2.408116995316419425e-16
6.534853333829158146e+03 2.466422909846294417e-16
6.544735617198962245e+03 2.419578671560425253e-16
6.554617071016573391e+03 2.377565835805428816e-16
6.564497693289197741e+03 2.495811526946556136e-16
6.574377482024046913e+03 2.490400981486078774e-16
6.584256435228327973e+03 2.340622940511692774e-16
6.594134550909249811e+03 2.326536860536235505e-16
6.604011827074020403e+03 2.380029338063002497e-16
6.613888261729850456e+03 2.360619022959977464e-16
6.623763852883947038e+03 2.353421124505602711e-16
6.633638598543518128e+03 2.441407965062903707e-16
